Id,PreviousCropCode,Name,NitrogenCreditMetric,NitrogenCreditImperial,CropId,CropTypeId,StaticDataVersionId,CropTypeStaticDataVersionId
9,3,established forage: 50-100% legumes,90,80,71,,8,
6,2,not applicable (no N credit),0,0,72,,8,
13,3,none (no N credit),0,0,71,,8,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,8,
7,3,established forage: 0-30% legumes,0,0,71,,8,
8,3,established forage: 30-50% legumes,45,40,71,,8,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,8,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,8,
5,1,"non-legume cover crop (winter wheat, fall rye, etc.)",0,0,4,,9,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,9,
12,1,none (no N credit),0,0,4,,9,
2,1,established forage: 30-50% legumes,45,40,4,,9,
1,1,established forage: 0-30% legumes,0,0,4,,9,
13,3,none (no N credit),0,0,71,,9,
6,2,not applicable (no N credit),0,0,72,,9,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,9,
8,3,established forage: 30-50% legumes,45,40,71,,9,
7,3,established forage: 0-30% legumes,0,0,71,,9,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,9,
9,3,established forage: 50-100% legumes,90,80,71,,9,
3,1,established forage: 50-100% legumes,90,80,4,,9,
1,1,established forage: 0-30% legumes,0,0,4,,10,
3,1,established forage: 50-100% legumes,90,80,4,,10,
12,1,none (no N credit),0,0,4,,10,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,10,
5,1,"non-legume cover crop (winter wheat, fall rye, etc.)",0,0,4,,10,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,10,
6,2,not applicable (no N credit),0,0,72,,10,
9,3,established forage: 50-100% legumes,90,80,71,,10,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,10,
7,3,established forage: 0-30% legumes,0,0,71,,10,
8,3,established forage: 30-50% legumes,45,40,71,,10,
13,3,none (no N credit),0,0,71,,10,
2,1,established forage: 30-50% legumes,45,40,4,,10,
7,3,established forage: 0-30% legumes,0,0,71,,12,
8,3,established forage: 30-50% legumes,45,40,71,,12,
12,1,none (no N credit),0,0,4,,12,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,12,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,12,
13,3,none (no N credit),0,0,71,,12,
5,1,"non-legume cover crop (winter wheat, fall rye, etc.)",0,0,4,,12,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,12,
3,1,established forage: 50-100% legumes,90,80,4,,12,
2,1,established forage: 30-50% legumes,45,40,4,,12,
1,1,established forage: 0-30% legumes,0,0,4,,12,
9,3,established forage: 50-100% legumes,90,80,71,,12,
6,2,not applicable (no N credit),0,0,72,,12,
1,1,established forage: 0-30% legumes,0,0,4,,13,
2,1,established forage: 30-50% legumes,45,40,4,,13,
3,1,established forage: 50-100% legumes,90,80,4,,13,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,13,
5,1,"non-legume cover crop (winter wheat, fall rye, etc.)",0,0,4,,13,
6,2,not applicable (no N credit),0,0,72,,13,
7,3,established forage: 0-30% legumes,0,0,71,,13,
8,3,established forage: 30-50% legumes,45,40,71,,13,
9,3,established forage: 50-100% legumes,90,80,71,,13,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,13,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,13,
12,1,none (no N credit),0,0,4,,13,
13,3,none (no N credit),0,0,71,,13,
1,1,established forage: 0-30% legumes,0,0,4,,14,
2,1,established forage: 30-50% legumes,45,40,4,,14,
3,1,established forage: 50-100% legumes,90,80,4,,14,
4,1,"legume cover crop (red clover, austrian winter pea, etc.)",79,70,4,,14,
5,1,"non-legume cover crop (winter wheat, fall rye, etc.)",0,0,4,,14,
6,2,not applicable (no N credit),0,0,72,,14,
7,3,established forage: 0-30% legumes,0,0,71,,14,
8,3,established forage: 30-50% legumes,45,40,71,,14,
9,3,established forage: 50-100% legumes,90,80,71,,14,
10,3,"legume cover crop (vetch, clover, etc.)",45,40,71,,14,
11,3,"non-legume cover crop (barley, radish, etc.)",0,0,71,,14,
12,1,none (no N credit),0,0,4,,14,
13,3,none (no N credit),0,0,71,,14,
