Id,Name,ManureClass,SolidLiquid,Moisture,Nitrogen,Ammonia,Phosphorous,Potassium,DryMatterId,NMineralizationId,SortNum,CubicYardConversion,Nitrate,StaticDataVersionId,DefaultSolidMoisture
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,3,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,3,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,3,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,3,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,3,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,4,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,4,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,4,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,4,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,4,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,4,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,4,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,4,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,4,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,4,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,4,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,4,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,4,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,4,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,4,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,4,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,4,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,4,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,4,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,4,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,4,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,4,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,4,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,4,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,4,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,4,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,5,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,5,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,5,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,5,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,5,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,5,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,5,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,5,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,5,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,5,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,5,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,5,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,5,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,5,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,5,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,5,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,5,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,5,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,5,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,5,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,5,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,5,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,5,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,5,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,5,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,5,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,6,
1,"Beef-feedlot, solid (dry)",Beef - feedlot,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,6,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,6,
3,"Beef, liquid",Beef - feedlot,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,6,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,6,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,6,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,6,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,6,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,6,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,6,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,6,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,6,
2,"Beef-feedlot, solid (moist)",Beef - feedlot,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,6,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,6,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,6,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,6,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,6,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,6,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,6,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,6,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,6,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,6,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,6,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,6,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,6,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,6,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,7,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,7,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,7,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,7,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,7,
2,"Beef-feedlot, solid (moist)",Beef ,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,7,77
3,"Beef, liquid",Beef ,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,7,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,7,
1,"Beef-feedlot, solid (dry)",Beef ,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,7,70
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,7,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,7,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,7,
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,7,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,7,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,7,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,7,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,7,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,7,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,7,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,7,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,7,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,7,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,7,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,7,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,7,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,7,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,8,
1,"Beef-feedlot, solid (dry)",Beef ,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,8,70
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,8,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,8,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,8,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,8,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,8,
3,"Beef, liquid",Beef ,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,8,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,8,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,8,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,8,
2,"Beef-feedlot, solid (moist)",Beef ,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,8,77
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,8,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,8,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,8,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,8,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,8,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,8,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,8,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,8,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,8,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,8,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,8,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,8,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,8,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,8,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,9,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,9,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,9,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,9,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,9,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,9,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,9,
15,"Dairy, liquid (medium slurry)",Dairy,Liquid,92-95%,0.28,1450,0.06,0.25,3,2,111,0,0,9,
8,Chicken-broiler breeder,Chickens,Solid,46%,1.25,3096,0.84,1.71,5,5,100,0.4,0,9,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,9,
5,Chicken-broiler (general),Chickens,Solid,50%,2.26,3423,0.91,1.14,5,5,100,0.45,0,9,
22,Horse,Horses,Solid,<82%,0.32,268,0.09,0.25,4,9,200,0.7,0,9,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,9,
18,"Biosolids, anaerobically digested & dewatered",Biosolids,Solid,70%,1.47,2940,0.9,0.03,4,4,300,0.7,0,9,
14,"Dairy, liquid (thick slurry)",Dairy,Liquid,80-92%,0.4,1760,0.08,0.3,4,2,110,0,0,9,
19,Goat (dairy),Goats (dairy),Solid,65%,1.04,2818,0.28,1.03,4,11,200,0.7,0,9,
20,"Hog, liquid",Hog,Liquid,≥82%,0.33,2211,0.1,0.15,4,2,200,0,0,9,
1,"Beef-feedlot, solid (dry)",Beef ,Solid,≤72%,0.42,44,0.13,0.67,4,11,100,0.51,0,9,70
12,"Dairy, solid (moist)",Dairy,Solid,72-82%,0.39,797,0.1,0.3,4,11,100,0.7,0,9,
11,"Dairy, solid (dry)",Dairy,Solid,≤72%,0.76,317,0.2,0.43,4,11,100,0.59,0,9,
2,"Beef-feedlot, solid (moist)",Beef ,Solid,72-82%,0.68,368,0.15,0.3,4,11,100,0.7,0,9,77
3,"Beef, liquid",Beef ,Liquid,82-90%,0.28,77,0.09,0.19,4,2,100,0,0,9,
24,Sheep,Sheep,Solid,68%,0.87,2784,0.34,0.76,4,11,200,0.7,0,9,
23,Mink,Mink,Solid,54%,3.28,14151,1.82,0.79,4,6,200,0.5,0,9,
27,"(Other, solid)",Other,Solid,Solid,0,0,0,0,4,11,10,0.5,0,9,
4,Compost,Compost,Solid,50%,0,0,0,0,6,10,50,0.5,0,9,
16,"Dairy, liquid (quite watery)",Dairy,Liquid,95-98%,0.2,1110,0.04,0.16,2,2,112,0,0,10,
28,"(Other, liquid)",Other,Liquid,Liquid,0,0,0,0,2,2,10,0,0,10,
21,"Hog, solid",Hog,Solid,<82%,0.86,525,0.42,0.5,2,7,200,0.7,0,10,
26,"Turkey (manure fresh from barn, <7 weeks)",Turkeys,Solid,33%,1.79,2518,0.79,1.31,5,5,200,0.33,0,10,
10,Chicken-layer,Chickens,Solid,50%,2.26,3889,1.13,1.51,5,5,100,0.4,0,10,
7,Chicken-broiler (manure aged outdoors),Chickens,Solid,70%,1.91,3095,0.8,1.14,5,5,100,0.5,0,10,
25,"Turkey (manure aged, ≥7 weeks out of barn)",Turkeys,Solid,70%,0.87,1281,0.44,0.59,5,5,200,0.33,0,10,
17,"Dairy, liquid (very watery)",Dairy,Liquid,98-99%,0.13,730,0.02,0.12,2,2,113,0,0,10,
6,Chicken-broiler (manure fresh from barn),Chickens,Solid,25%,2.97,4078,1.05,1.04,5,5,100,0.4,0,10,
